# x	y	u	v	flags	mask
1.1293e+00	8.0812e-01	2.5664e+00	8.6232e-01	0.0000e+00	0.0000e+00
1.4194e+00	8.0812e-01	2.5675e+00	1.2295e+00	0.0000e+00	0.0000e+00
1.7095e+00	8.0812e-01	1.8018e+00	1.0207e+00	0.0000e+00	0.0000e+00
1.9996e+00	8.0812e-01	1.6570e+00	3.3669e-01	0.0000e+00	0.0000e+00
2.2897e+00	8.0812e-01	1.3777e+00	-3.7847e-01	0.0000e+00	0.0000e+00
2.5798e+00	8.0812e-01	1.7077e+00	-8.8239e-01	0.0000e+00	0.0000e+00
2.8699e+00	8.0812e-01	2.0088e+00	-1.0390e+00	0.0000e+00	0.0000e+00
3.1600e+00	8.0812e-01	2.5205e+00	-7.1423e-01	0.0000e+00	0.0000e+00
3.4501e+00	8.0812e-01	2.9540e+00	5.4416e-02	0.0000e+00	0.0000e+00
3.7402e+00	8.0812e-01	3.1873e+00	6.9516e-01	0.0000e+00	0.0000e+00
4.0303e+00	8.0812e-01	3.0465e+00	8.3956e-01	0.0000e+00	0.0000e+00
4.3203e+00	8.0812e-01	2.8029e+00	9.3873e-01	0.0000e+00	0.0000e+00
4.6104e+00	8.0812e-01	2.5227e+00	8.8920e-01	0.0000e+00	0.0000e+00
4.9005e+00	8.0812e-01	2.3427e+00	8.4953e-01	0.0000e+00	0.0000e+00
5.1906e+00	8.0812e-01	2.2066e+00	2.7954e-01	0.0000e+00	0.0000e+00
5.4807e+00	8.0812e-01	2.0705e+00	3.0886e-02	0.0000e+00	0.0000e+00
5.7708e+00	8.0812e-01	1.9243e+00	-5.1482e-01	0.0000e+00	0.0000e+00
6.0609e+00	8.0812e-01	2.1516e+00	-8.9221e-01	0.0000e+00	0.0000e+00
6.3510e+00	8.0812e-01	2.0399e+00	-1.0005e+00	0.0000e+00	0.0000e+00
6.6411e+00	8.0812e-01	2.2833e+00	-8.8043e-01	0.0000e+00	0.0000e+00
6.9312e+00	8.0812e-01	2.2865e+00	-7.4417e-01	0.0000e+00	0.0000e+00
7.2213e+00	8.0812e-01	2.2278e+00	-4.9322e-01	0.0000e+00	0.0000e+00
7.5114e+00	8.0812e-01	2.3117e+00	-4.8504e-02	0.0000e+00	0.0000e+00
7.8015e+00	8.0812e-01	2.3507e+00	3.3922e-01	0.0000e+00	0.0000e+00
8.0916e+00	8.0812e-01	2.4851e+00	4.5345e-01	0.0000e+00	0.0000e+00
8.3817e+00	8.0812e-01	2.4868e+00	4.2179e-01	0.0000e+00	0.0000e+00
8.6718e+00	8.0812e-01	2.3711e+00	4.0012e-01	0.0000e+00	0.0000e+00
8.9619e+00	8.0812e-01	2.2739e+00	3.2674e-01	0.0000e+00	0.0000e+00
9.2520e+00	8.0812e-01	2.2977e+00	1.3761e-01	0.0000e+00	0.0000e+00
9.5421e+00	8.0812e-01	2.1716e+00	1.0352e-01	0.0000e+00	0.0000e+00
9.8322e+00	8.0812e-01	2.1501e+00	-1.2743e-01	0.0000e+00	0.0000e+00
1.0122e+01	8.0812e-01	2.1252e+00	-1.7028e-01	0.0000e+00	0.0000e+00
1.0412e+01	8.0812e-01	2.1748e+00	-2.5982e-01	0.0000e+00	0.0000e+00
1.0702e+01	8.0812e-01	2.2714e+00	-3.1437e-01	0.0000e+00	0.0000e+00
1.0993e+01	8.0812e-01	2.3329e+00	-2.4597e-01	0.0000e+00	0.0000e+00
1.1283e+01	8.0812e-01	2.0599e+00	-1.5140e-01	0.0000e+00	0.0000e+00
1.1573e+01	8.0812e-01	2.3235e+00	3.6049e-02	0.0000e+00	0.0000e+00
1.1863e+01	8.0812e-01	2.5052e+00	4.2771e-02	0.0000e+00	0.0000e+00
1.2153e+01	8.0812e-01	2.3824e+00	1.1823e-01	0.0000e+00	0.0000e+00
2.5901e-01	5.1803e-01	3.9278e+00	-4.4981e-01	0.0000e+00	0.0000e+00
5.4911e-01	5.1803e-01	3.9977e+00	-1.8598e-01	0.0000e+00	0.0000e+00
8.3920e-01	5.1803e-01	3.7038e+00	3.0707e-01	0.0000e+00	0.0000e+00
1.1293e+00	5.1803e-01	3.6315e+00	6.1331e-01	0.0000e+00	0.0000e+00
1.4194e+00	5.1803e-01	3.1280e+00	7.5221e-01	0.0000e+00	0.0000e+00
1.7095e+00	5.1803e-01	2.6314e+00	4.6786e-01	0.0000e+00	0.0000e+00
1.9996e+00	5.1803e-01	2.3065e+00	3.8235e-01	0.0000e+00	0.0000e+00
2.2897e+00	5.1803e-01	2.3883e+00	-2.9459e-01	0.0000e+00	0.0000e+00
2.5798e+00	5.1803e-01	2.2672e+00	-3.4215e-01	0.0000e+00	0.0000e+00
2.8699e+00	5.1803e-01	2.8376e+00	-5.0736e-01	0.0000e+00	0.0000e+00
3.1600e+00	5.1803e-01	3.1919e+00	-1.1284e-01	0.0000e+00	0.0000e+00
3.4501e+00	5.1803e-01	3.3123e+00	4.3483e-01	0.0000e+00	0.0000e+00
3.7402e+00	5.1803e-01	3.1640e+00	9.6448e-01	0.0000e+00	0.0000e+00
4.0303e+00	5.1803e-01	2.9072e+00	8.2586e-01	0.0000e+00	0.0000e+00
4.3203e+00	5.1803e-01	2.8669e+00	7.3065e-01	0.0000e+00	0.0000e+00
4.6104e+00	5.1803e-01	2.6416e+00	6.8445e-01	0.0000e+00	0.0000e+00
4.9005e+00	5.1803e-01	2.3960e+00	5.2700e-01	0.0000e+00	0.0000e+00
5.1906e+00	5.1803e-01	2.1684e+00	4.3790e-01	0.0000e+00	0.0000e+00
5.4807e+00	5.1803e-01	2.0271e+00	-1.1330e-01	0.0000e+00	0.0000e+00
5.7708e+00	5.1803e-01	2.2819e+00	-2.9985e-01	1.0000e+00	0.0000e+00
6.0609e+00	5.1803e-01	2.2295e+00	-7.6291e-01	0.0000e+00	0.0000e+00
6.3510e+00	5.1803e-01	2.4766e+00	-8.9263e-01	0.0000e+00	0.0000e+00
6.6411e+00	5.1803e-01	2.4506e+00	-8.2534e-01	0.0000e+00	0.0000e+00
6.9312e+00	5.1803e-01	2.4936e+00	-6.8451e-01	0.0000e+00	0.0000e+00
7.2213e+00	5.1803e-01	2.6004e+00	-3.2810e-01	0.0000e+00	0.0000e+00
7.5114e+00	5.1803e-01	2.5960e+00	1.0457e-01	0.0000e+00	0.0000e+00
7.8015e+00	5.1803e-01	2.7182e+00	3.9293e-01	0.0000e+00	0.0000e+00
8.0916e+00	5.1803e-01	2.6271e+00	4.9268e-01	0.0000e+00	0.0000e+00
8.3817e+00	5.1803e-01	2.6678e+00	3.8756e-01	0.0000e+00	0.0000e+00
8.6718e+00	5.1803e-01	2.6699e+00	2.8792e-01	0.0000e+00	0.0000e+00
8.9619e+00	5.1803e-01	2.4575e+00	1.8196e-01	0.0000e+00	0.0000e+00
9.2520e+00	5.1803e-01	2.4631e+00	6.0556e-02	0.0000e+00	0.0000e+00
9.5421e+00	5.1803e-01	2.4466e+00	1.7744e-02	0.0000e+00	0.0000e+00
9.8322e+00	5.1803e-01	2.4050e+00	3.7122e-02	0.0000e+00	0.0000e+00
1.0122e+01	5.1803e-01	2.4004e+00	-1.4647e-01	0.0000e+00	0.0000e+00
